# Unfamiliar words — words you need to practice
# Format: word	TAB	meaning
# This file is generated by the init-wordlist skill.
abandon	v. 遗弃；离开；放弃；终止；陷入n. 放任，狂热
property	vi. 后悔；忏悔vt. 后悔；对…感到后悔adj. [植] 匍匐生根的；[动] 爬行的
prophet	n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
proportion	n. 重复；背诵；副本
proportional	vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
proposal	n. 更换；复位；代替者；补充兵员
propose	vi. 回答；[法] 答辩；回击n. 回答；[法] 答辩vt. 回答；答复
proposition	n. 报告；报道；成绩单vt. 报告；报导；使报到vi. 报告；报到；写报导n. (Report)人名；(匈)雷波特
prose	n. 记者
prospect	vt. 代表；表现；描绘；回忆；再赠送vi. 代表；提出异议
prospective	n. 代表；表现；表示法；陈述
prosperity	adj. 典型的，有代表性的；代议制的；表现的，体现的；与表象有关的n. 代表；典型；众议员；销售代表
prosperous	n. 责备；耻辱vt. 责备；申斥
protect	vt. 复制；再生；生殖；使…在脑海中重现vi. 复制；繁殖
protection	n. 共和国；共和政体
protective	adj. 共和国的；共和政体的；共和主义的；拥护共和政体的n. 共和主义者
protein	n. 名声，名誉；声望
protest	n. 请求；需要vt. 要求，请求
prototype	vt. 需要；要求；命令
proud	n. 要求；必要条件；必需品
prove	v. 营救，援救；（非正式）防止……丢失n. 营救，解救，援救；营救行动
provide	n. 研究；调查vi. 研究；调查vt. 研究；调查[ 过去式 researched过去分词 researched 现在分词 researching ]
provided	n. 研究员
province	n. 相似；相似之处；相似物；肖像
provision	vt. 类似，像
provocative	vt. 怨恨；愤恨；厌恶
provoke	n. 预约，预订；保留n.储备(物),储藏量,预备队vt.储备,保存,保留,预定,预约
proximity	vi. 住，居住；属于
psychological	n. 住宅，住处；居住n.居民adj.居住的,常驻的
public	adj. 住宅的；与居住有关的
publication	vt. 辞职；放弃；委托；使听从vi. 辞职n. 辞去职务
publicity	n. 辞职；放弃；辞职书；顺从
publish	vi. 抵抗，抗拒；忍耐vt. 抵抗；忍耐，忍住n. [助剂] 抗蚀剂；防染剂
pudding	n. 阻力；电阻；抵抗；反抗；抵抗力
puff	adj. 抵抗的，反抗的；顽固的n. 抵抗者
pull	n. [物] 分辨率；决议；解决；决心
pulse	vt. 决定；溶解；使……分解；决心要做……；[主化]解析vi. 解决；决心；分解n. 坚决；决定要做的事
pump	n. [力] 共振；共鸣；反响
punch	n. 凭借，手段；度假胜地；常去之地vi. 求助，诉诸；常去；采取某手段或方法
punctual	n. 资源，财力；办法；智谋vi. 向...提供资金
punish	n. 尊敬，尊重；方面；敬意vt. 尊敬，尊重；遵守
punishment	adj. 恭敬的；有礼貌的
pupil	adj. 分别的，各自的
puppet	adv. 分别地；各自地，独自地
purchase	vi. 回答；作出反应；承担责任vt. 以…回答n. 应答；唱和
pure	n. 响应；反应；回答
purely	n. 责任，职责；义务
purify	adj. 负责的，可靠的；有责任的4050n.休息,静止,支持物,台,架,[音]休止符,其余,其他vi.休息,睡眠,静止,依靠,搁在,保持(状态),取决于vt.使休息,使静止,睡眠,依靠,搁在
purity	n. 餐馆；[经] 饭店
purple	adj. 焦躁不安的；不安宁的；得不到满足的
purpose	vt. 恢复；修复；归还vi. 恢复；还原
purse	vt. 抑制，控制；约束；制止
pursue	n. 抑制，克制；约束
pursuit	vt. 限制；约束；限定
push	n. 限制；约束；束缚
puzzle	adj. 由此导致的，因而发生的n. 合力，合成速率；结果n.摘要,概略,美 履历vt.再继续,重新开始,重新占用,再用,恢复4061
qualification	n. 零售v. 零售，（以某价格）零售；详述；散播（私密消息）adv.以零售方式adj. 零售的n. (Retail) （印）勒塔伊（人名）
qualify	vt. 保持；雇；记住
qualitative	vt. 复述；再讲；重述
quality	n. 保留；扣留，滞留；记忆力；闭尿
quantify	vi. 退休；撤退；退却；（陪审团）退庭vt. 退休；离开；收回n. 退休；退隐；退兵信号
quantitative	v. 反驳，回嘴；蒸馏；在曲颈瓶里加热；（对侮辱或伤害）进行报复
quantity	n. 反驳，顶嘴；曲颈瓶，蒸馏瓶；蒸馏，干馏
quarrel	n. 撤退；休息寓所vi. 撤退；退避；向后倾vt. 退（棋）；使后退
quart	vt. [计] 检索；恢复；重新得到vi. 找回猎物n. [计] 检索；恢复，取回
quarter	n. 回顾，追溯vi. 回顾，追溯；回想vt. 回顾；追忆n.回来,返回,来回票,利润,回答adj.返回的,回程的,报答的,反向的,重现的vi.回返,归还vt.归还,回报,报告,获得,回答,返回
quartz	n. 启示；揭露；出乎意料的事；被揭露的真相
queen	n. 报复；复仇vt. 报复；替…报仇；洗雪vi. 报仇；雪耻n.相反,背面,反面,倒退adj.相反的,倒转的,颠倒的vt.颠倒,倒转
queer	n. 回顾；复习；评论；检讨；检阅vt. 回顾；检查；复审vi. 回顾；复习功课；写评论
quench	vt. 修正；复习；校订vi. 修订；校订；复习功课n. 修订；校订n.(Revise)人名；(法)勒维斯
quest	vi. 复兴；复活；苏醒；恢复精神vt. 使复兴；使苏醒；回想起；重演，重播
question	n. 违抗，反抗；起义，叛乱v. 反抗，反叛；叛逆，违抗；（使）厌恶，反感
questionnaire	n. 革命；旋转；运行；循环
queue	adj. 革命的；旋转的；大变革的n. 革命者
quick	vi. 旋转；循环出现；反复考虑vt. 使…旋转；使…循环；反复考虑
quicken	n. 旋转；循环；旋转舞台
quickly	n. [劳经] 报酬；报答；酬谢vt. [劳经] 奖励；奖赏
quiet	n. 节奏；韵律
quilt	n. 肋骨；排骨；肋状物vt. 戏弄；装肋于
quite	n. 稻；米饭vt. 把…捣成米糊状n. (Rice)人名；(瑞典)里瑟；(塞)里采；(英)赖斯
quiver	adj. 富有的；肥沃的；昂贵的adj. 油腻的，含有很多脂肪n. (Rich)人名；(丹)里克；(捷)里赫；(英、西)里奇；(葡、法)里什
quiz	v. 使摆脱，使去掉n. (Rid) （俄、德、英、美）里德（人名）n.谜,谜语,神秘人物v.解谜,出谜,迷惑v.骑,乘n.骑,乘
quotation	n. 骑手；附文；扶手n. (Rider)人名；(英)赖德；(西)里德尔40964109
quote	n. 山脊；山脉；屋脊vt. 使成脊状；作垄vi. 成脊状n. (Ridge)人名；(英)里奇
rabbit	adj. 可笑的；荒谬的
race	n. 步枪；来复枪vt. 用步枪射击；抢夺；偷走
racial	v. 操纵；装配；装扮；装上索具；为……提供服装n. 装备；钻探设备；服装； 帆装；重型铰接式开车
rack	adj. 正确的；直接的；右方的vi. 复正；恢复平稳n. 正确；右边；正义；权利adv. 正确地；恰当地；彻底地vt. 纠正n. (Right)人名；(英)赖特
racket	adj. 严格的；僵硬的，死板的；坚硬的；精确的
radar	adj. 严格的，严厉的；严密的；严酷的
radiant	n. 边，边缘；轮辋；圆圈vi. 作…的边，装边于vt. 作…的边，装边于n. (Rim)人名；(俄)里姆n.环,环形物,环状,铃声,声调,打电话,拳击场vt.包围,套住,按铃,敲钟vi.成环形,响,鸣,敲钟,回响,按铃
radiate	n. 暴乱；放纵；蔓延vi. 骚乱；放荡vt. 浪费，挥霍n. (Riot)人名；(法)里奥；(西)里奥特
radiation	vt. 撕；锯vi. 裂开，被撕裂n. 裂口，裂缝n. (Rip)人名；(塞)里普
radical	adj. 熟的，成熟的；时机成熟的n. 里佩（Ripe，意、瑞典人名）
radio	vt. 使成熟vi. 成熟
radioactive	n. 波纹；涟漪；[物] 涟波vi. 起潺潺声vt. 在…上形成波痕n.(Ripple)人名；(英)里普尔n.上升,增加,上涨,高地,小山,发生,出现vi.升起,起身,发源,起义,高耸,增长,上升,复活vt.使飞起
radioactivity	n. 风险；危险；冒险vt. 冒…的危险n. (Risk)人名；(英、阿拉伯)里斯克
radish	n. 仪式；惯例；礼制adj. 仪式的；例行的；礼节性的
radium	n. 竞争对手；可与……匹敌的人；同行者v. 与…竞争；比得上某人；赶上（某人）；竞争adj. 竞争的n. (Rival) （俄）里瓦尔（人名）
rag	n. 公路，马路；道路；手段vt. （狗）沿臭迹追逐（猎物）adj.（美）巡回的n. (Road)人名；(英)罗德
rage	n. 咆哮；吼；轰鸣vi. 咆哮；吼叫；喧闹vt. 咆哮；呼喊；使……轰鸣n. (Roar)人名；(挪)罗阿尔v.烤,烘,烘烤,暴露于某种热力下以得温暖
rail	n. 强盗；盗贼
railroad	n. 抢劫，盗窃；抢掠413341414144
railway	n. 长袍，礼服；制服vi. 穿长袍vt. 使穿长袍n. （Robe）（德、罗、塞）罗贝；（英、法）罗布（人名）
rain	n. 机器人；遥控设备，自动机械；机械般工作的人
rainy	n. 岩石；摇滚乐；暗礁vt. 摇动；使摇晃vi. 摇动；摇晃n. (Rock)人名；(英、德、匈、意、瑞典)罗克
raise	n. 火箭；火箭武器；烟花；芝麻菜；（非正式）严厉斥责v. 迅速增加；飞速移动；迅速成功；用火箭武器攻击；用火箭运载
rake	n. 棒；惩罚；枝条；权力n. (Rod)人名；(英、法、德、捷、希)罗德；(阿拉伯)鲁德；(老)罗
rally	n. 角色；任务n. (Role)人名；(意、塞、赤几)罗莱adj.滚动,滚转,(使)摇摆,(使)摇晃,卷起,卷拢vt.辗,轧n.(一)卷,卷形物,摇晃,摆动,名单
random	n. [机] 滚筒；[机] 滚轴；辊子；滚转机n. (Roller)人名；(英、德、俄、匈、罗、捷、瑞典)罗勒；(法)罗莱
rapid	adj. 浪漫的；多情的；空想的n. 浪漫的人vt. 使…浪漫化
rapidly	n. 屋顶；最高处，顶部；最高限度vt. 给…盖屋顶，覆盖n. (Roof)人名；(英)鲁夫n.房间,屋子,寓所,场所,地位,空间,机会,余地
rare	n. 根；根源；词根；祖先vi. 生根；根除vt. 生根，固定；根源在于
rarely	n. (Root)人名；(英)鲁特；(德、瑞典)罗特
rat	n. 绳，绳索vt. 捆，绑vi. 拧成绳状n. (Rope)人名；(英)罗普；(芬)罗佩n.蔷薇属,玫瑰,玫瑰红;vbl.rise的过去式;Rose 罗斯(女子名);Remote Operations Service Elements,远程操作服务单元v.(使)腐烂,(使)腐败n.腐烂,腐败
rate	adj. 旋转的，转动的；轮流的n. 旋转式机器；[动力] 转缸式发动机
rather	vi. 旋转；循环vt. 使旋转；使转动；使轮流adj. [植] 辐状的
rating	n. 旋转；循环，轮流
ratio	adj. 腐烂的；堕落的；恶臭的；虚弱的；极坏的adv. 非常n.(Rotten)人名；(法、德)罗滕adj.粗糙的,粗略的,大致的,粗野的,粗暴的,粗略叙述的v.大体描述adv.粗糙地
rational	adv. 粗糙地；概略地n.圆,圆形物,巡回,一轮;adj.圆的,丰满的,大概的,完全的,率直的;prep.围着,附近,绕过,在...周围;vt.弄圆,使成圆形,绕行,完成,四舍五入vi.变圆,发胖,环行,拐弯,进展;adv.围绕着,循环地,在周围,迂回地,朝反方向,挨个
ray	n. 常规，惯例；生活乏味；（演出中的）一套动作；（计算机）例行程序adj. 常规的，例行的；平常的；乏味的v. 按惯例安排
razor	n. 行，排；划船；街道；吵闹vt. 划船；使……成排vi. 划船；争吵
reach	n. (Row)人名；(英)罗
react	adj. 皇家的；盛大的；女王的；高贵的；第一流的n. 王室；王室成员4149
reaction	n. 皇室；版税；王权；专利税
read	vt. 擦；摩擦；惹怒vi. 擦；摩擦；擦破n. 摩擦；障碍；磨损处n.(Rub)人名；(捷)鲁布
reader	n. 橡胶；橡皮；合成橡胶；避孕套adj. 橡胶制成的vt. 涂橡胶于；用橡胶制造vi. 扭转脖子看；好奇地引颈而望n. (Rubber)（西鲁）韦尔（人名）n.垃圾,废物,废话
readily	adj. 粗鲁的；无礼的；狂暴的；未开化的n. （Rude）（美）鲁德（人名）
reading	n. 小地毯；毛皮地毯；男子假发n. (Rug)人名；(塞)鲁格v.(使)破产,(使)堕落,毁灭n.毁灭,崩溃,(pl.) 废墟,遗迹n.规则,惯例,统治,章程,破折号,准则,标准,控制vt.规定,统治,支配,裁决vi.统治,管辖,裁定n.规则,水线
realistic	vi. 经营；奔跑；运转vt. 管理，经营；运行；参赛n. 奔跑；赛跑；趋向；奔跑的路程n. (Run)人名；(塞)鲁恩
reality	n. 跑步者；走私者；推销员；送信人n. （Runner）（英）朗纳（人名）
realize	n. 破裂；决裂；疝气vi. 破裂；发疝气vt. 使破裂；断绝；发生疝41614163
really	adj. 农村的，乡下的；田园的，有乡村风味的
realm	n. 冲进；匆促；急流；灯心草adj. 急需的vt. 使冲；突袭；匆忙地做；飞跃vi. 冲；奔；闯；赶紧；涌现n. (Rush)人名；(英)拉什
reap	adj. 俄国的；俄语的n. 俄国人；俄语
reason	adj. 生锈的，腐蚀的；铁锈色的，锈色的；迟钝的
reasonable	n. 麻布袋；洗劫vt. 解雇；把……装入袋；劫掠n. (Sack)人名；(英、法、葡、瑞典)萨克；(德)扎克
rebel	adj. 神的；神圣的；宗教的；庄严的
rebellion	n. 牺牲；祭品；供奉vt. 牺牲；献祭；亏本出售vi. 献祭；奉献
recall	adj. 难过的；悲哀的，令人悲痛的；凄惨的，阴郁的（形容颜色）
receipt	n. 鞍，鞍状物；车座；拖具vt. 承受；使负担；装以马鞍vi. 跨上马鞍
receive	adv. 悲哀地；悲痛地
recent	adj. 安全的；可靠的；平安的n. 保险箱；冷藏室；纱橱n. (Safe)人名；(几)萨菲
recently	n. 保护；保卫；保护措施；预防措施v. 保护；护卫
reception	adv. 安全地稳定地
recession	n. 安全；保险；安全设备；保险装置；安打
recipe	vi. 航行；启航，开船n. 帆，篷；航行vt. 航行
recipient	n. 水手，海员；乘船者n. (Sailor)人名；(英)赛勒
reciprocal	n. 圣人；圣徒；道德崇高的人adj. 神圣的vt. 成为圣徒
recite	n. 目的；利益；理由；日本米酒n. (Sake)人名；(罗)萨克；(日)酒(姓)
reckless	n. 色拉；尤指莴苣n. (Salad)人名；(阿拉伯)萨拉德
reckon	n. 薪水，工资v. 给……薪金418641904191
reclaim	n. 销售；出售；拍卖；销售额；廉价出售n. (Sale)人名；(意、塞、瑞典)萨莱；(英、萨摩)塞尔；(法)萨尔
recognition	n. 推销员；售货员n.食盐,风趣,刺激adj.含盐的,咸的,风趣的,辛辣的vt.加盐于,用盐腌SALT [缩写] 限制战略武器会谈
recognize	n. 致敬，欢迎；敬礼vt. 行礼致敬，欢迎vi. 致意，打招呼；行礼
recollect	adj. 相同的；同一的；上述的（通常与the连用）；无变化的pron.同样的事物或人（通常与the连用）adv. 同样地（通常与the连用）n.(Same)人名；(意)萨梅n.标本,样品,例子vt.取样,采样,抽取...的样品,试验的一部分,尝试
recommend	n. 制裁，处罚；认可；支持vt. 制裁，处罚；批准；鼓励n.沙,沙子,[pl.] 沙滩,沙地v.撒沙子
recommendation	n. 三明治（状物）；夹心面包片；（奶油）夹心蛋糕；教学与实习交替培训课程v. 夹入（或挤进）……中间；粘合；把..……做成三明治
reconcile	adj. 沙地的；多沙的；含沙的n. (Sandy)人名；(法、喀、罗、西、英)桑迪(教名Alasdair、Alastair、Alexander、Alister、Elshender的昵称)
record	n. 卫星；人造卫星；卫星国家adj. 卫星的
recorder	n. 满意，满足；赔偿；乐事；赎罪
recover	adj. 满意的；符合要求的；赎罪的
recovery	vi. 令人满意；令人满足vt. 满足；说服，使相信；使满意，使高兴420142024205
recreation	vt. 浸透，使湿透；使饱和，使充满adj. 浸透的，饱和的；深颜色的
recruit	n. 星期六
rectangular	n. 酱油；沙司；调味汁vt. 使增加趣味；给…调味n. （Sauce）（西）绍塞；（法）索斯（人名）
rectify	n. 茶托，浅碟；浅碟形物；微波或射频辐射用抛物面反射器构成的定向天线；投掷比赛用的圆盘
recur	n. 香肠；腊肠；装香肠的碎肉
recycle	adj. 野蛮的；残酷的；狂怒的；荒凉的n. 未开化的人；粗鲁的人；残暴成性的人vt. 乱咬；粗暴的对待n. (Savage)人名；(西)萨瓦赫；(英、德)萨维奇
red	vt. 节省；保存；储蓄；解救vi. 节省；挽救prep. 除...之外n. 救援n. (Save)人名；(法)萨夫；(意、保、西、罗、塞、瑞典)萨薇 (女名)，萨韦
reduce	n. 节约；挽救；存款adj. 节约的；挽救的；补偿的；保留的prep.考虑到；除...之外n. (Saving)人名；(瑞典)萨温
reduction	n. 锯；格言v. 锯；锯成；用锯；乱剪；拉锯似的来回移动v. 看见；明白，了解（see 的过去式）
redundant	vt. 讲；说明；例如；声称；假设；指明vi. 讲；表示；念；假定；背诵n. (Say)人名；(土)萨伊；(法、老、柬)赛；(英)塞伊；(匈、罗)绍伊n.刻度,衡量,比例,数值范围,比例尺,天平,等级vt.依比例决定,攀登,测量vi.剥落,生水垢,重,攀登,衡量
reed	vt. 扫描；浏览；细看；详细调查；标出格律vi. 扫描；扫掠n. 扫描；浏览；审视；细看
reel	n. 丑闻；流言蜚语；诽谤；公愤n.伤痕,疤痕v.结疤,使留下伤痕,创伤
refer	adj. 缺乏的，不足的；稀有的adv. 仅仅；几乎不；几乎没有4215421842364237
reference	adv. 几乎不，简直不；几乎没有；决不； 刚……就……；仅仅，刚刚；勉强，刚；根本不可能；不可能，不会
refine	v. （使）害怕；受惊吓；吓跑n. 恐惧；惊吓；（社会上的）大恐慌
reflect	adj. 骇人的
reflection	adj. 害怕的v. 使害怕（scare的过去分词）
reflexion	n. 围巾；嵌接，嵌接处；头巾领巾vt. 披嵌接；用围巾围n. (Scarf)人名；(英)斯卡夫[ 复数 scarfs或scarves ]
reform	v. 撒播；散开；散布；驱散；散布于……上；散射（电磁辐射或粒子）；（棒球）有效投（球）n. 零星散布的东西；离差；散射
refrain	n. 场面；情景；景象；事件
refresh	n. 风景；景色；舞台布景
refreshment	n. 气味；嗅觉；痕迹；察觉能力vt. 闻到；发觉；使充满…的气味；循着遗臭追踪vi. 发出…的气味；有…的迹象；嗅着气味追赶n.(Scent)人名；(英)森特
refrigerator	adj. 怀疑的；怀疑论的；习惯怀疑的n.时间表,进度表v.确定时间
refuge	n. 计划；组合；体制；诡计vi. 搞阴谋；拟订计划vt. 计划；策划n.(Scheme)人名；(瑞典)谢默
refugee	n. 学者；奖学金获得者
refusal	n. 奖学金；学识，学问
refuse	n. 学校；学院；学派；鱼群vt. 教育
refute	n. 科学；技术；学科；理科n. (Science)人名；(英)赛恩斯
regarding	n. 科学家
regardless	n. 剪刀；剪式跳法v. 剪开；删除（scissor的第三人称单数）
regime	vi. 责骂；叱责vt. 骂；责骂n. 责骂；爱责骂的人
region	n. 范围；余地；视野；眼界；导弹射程vt. 审视
register	n. 分数；二十；配乐；刻痕vt. 获得；评价；划线，刻划；把…记下
regret	vi. 得分；记分；刻痕n. (Score)人名；(英)斯科尔
regularly	n. 搜索，侦察；侦察员；侦察机vt. 侦察；跟踪，监视；发现vi. 侦察；巡视；嘲笑
regulate	n. 碎片；残余物；打架；少量vt. 废弃；使解体；拆毁adj. 废弃的；零碎的vi. 吵架n.刮,擦,擦痕,刮擦声,困境vi.刮掉,擦掉,刮出刺耳声vt.刮,擦,擦伤,挖成
regulation	n. 擦伤；抓痕；刮擦声；乱写adj. 打草稿用的；凑合的；碰巧的vt.抓；刮；挖出；乱涂vi. 抓；搔；发刮擦声；勉强糊口；退出比赛
rehearsal	vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心vt. 尖声喊叫；大叫大嚷着要求n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
reign	n. 屏，幕；屏风vt. 筛；拍摄；放映；掩蔽vi. 拍电影n. (Screen)人名；(英)斯克林
reinforce	n. 脚本；手迹；书写用的字母vt. 把…改编为剧本vi. 写电影脚本
reject	n. 详细审查；监视；细看；选票复查
rejoice	n. 雕塑；雕刻；刻蚀vt. 雕塑；雕刻；刻蚀vi. 从事雕刻
relate	n. 海；海洋；许多；大量
relation	n. 密封；印章；海豹；封条；标志vt. 密封；盖章vi. 猎海豹n.（Seal）西尔（人名）42484273
relationship	n. 缝；接缝vt. 缝合；接合；使留下伤痕vi. 裂开；产生裂缝
relative	n. 海员，水手；水兵n. (Seaman)人名；(英)西曼；(意、瑞典)塞亚曼
relatively	n. 海港；港口都市
relativity	v. 搜索，搜寻；调查，搜查；搜身；探求；思索; （在计算机上）搜索n. 搜寻；探究，查究；检索n. (Search) （印、美）瑟奇（人名）
relax	n. 时期；季节；赛季vt. 给…调味；使适应vi. 变得成熟；变干燥
relay	n. 座位；所在地；职位vt. 使…坐下；可容纳…的；使就职n.秒,片刻,第二者,第二人,助手,次货,二等品adj.另一个,又一个num.第二vt.赞成,支持
release	adj. 第二的；中等的；次要的；中级的n. 副手；代理人
relevant	adv. 其次；第二
reliability	adj. 秘密的，机密的；不公开的；善于掩饰自己的n. 秘密，机密；秘诀；奥秘；默祷n. (Secret) （法）塞克雷（人名）
reliable	n. 秘书；书记；部长；大臣
reliance	n. 截面；部分；部门；地区；章节vi. 被切割成片；被分成部分vt.把…分段；将…切片；对…进行划分
relief	n. 部门；扇形，扇区；象限仪；函数尺vt. 把…分成扇形
relieve	adj. 安全的；无虑的；有把握的；稳当的vt. 保护；弄到；招致；缚住vi. 获得安全；船抛锚；停止工作
religion	n. 安全，安全性；保证；证券；抵押品adj. 安全的；保安的；保密的
religious	vt. 看见；理解；领会；觉察；拜访vi. 看；看见；领会n. （See）（英）西伊；（柬）塞；（德）泽（人名）
reluctant	n. 种子；根据；精液；萌芽；子孙；原由vt. 播种；结实；成熟；去…籽vi. 播种；（植物）结实n. (Seed)人名；(英)锡德
rely	vt. 寻求；寻找；探索；搜索vi. 寻找；探索；搜索
remain	vi. 似乎；像是；装作n. (Seem)人名；(英)西姆
remainder	adv. 看来似乎；表面上看来
remains	n. 段，部分；（水果或花的）瓣，（动物的）节；弓形；音段；（广播或节目的）时间段v. 分割；（细胞）分裂
remark	vt. 使隔离；使分离；在…实行种族隔离
remarkable	vt. 抓住；夺取；理解；逮捕vi. 抓住；利用；（机器）卡住
remedy	adv. 很少，不常vt.选择,挑选adj.精选的
remember	n. 选择，挑选；选集；精选品
remind	n. 自己，自我；本质；私心adj. 同一的vt. 使自花授精；使近亲繁殖vi. 自花授精n. （Self）（英）塞尔夫（人名）
remnant	adj. 自私的；利己主义的
remote	vt. 销售；推销；出卖；欺骗vi. 卖；出售；受欢迎；有销路n. 销售；失望；推销术n. (Sell)人名；(德)泽尔；(英、芬、瑞典)塞尔
removal	n. 卖方，售货员n. (Seller)人名；(匈)谢勒；(西)塞列尔
remove	n. 学期；半年
renaissance	n. [电子][物] 半导体
render	n. 讨论会，研讨班
renew	n. 参议院，上院；（古罗马的）元老院
rent	n. 参议员；（古罗马的）元老院议员；评议员，理事n. (Senator)人名；(瑞典、斯威)塞纳托尔
repair	vt. 发送，寄；派遣；使进入；发射vi. 派人；寄信n. 上升运动n.(Send)人名；(德)森德428142974300
repay	adj. 高级的；年长的；地位较高的；年资较深的，资格较老的n. 上司；较年长者；毕业班学生n. (Senior)人名；(英)西尼尔
repeat	n. 感觉；轰动；感动
repeatedly	n. 感觉，官能；观念；道理；理智vt. 感觉到；检测n. (Sense)（美）森斯（人名）
repel	adj. 明智的；通情达理的；合乎情理的；意识到的，能感觉到的n.可感觉到的东西
repent	adj. 敏感的；感觉的；[仪] 灵敏的；感光的；易受伤害的；易受影响的n. 敏感的人；有灵异能力的人
repertoire	n. [语][计] 句子，命题；宣判，判决vt. 判决，宣判
repetition	n. 感情，情绪；情操；观点；多愁善感adj.分开的,分离的,个别的,单独的v.分开,隔离,分散,分别
replace	adv. 分别地；分离地；个别地
replacement	n. 分离，分开；间隔，距离；[法] 分居；缺口
reply	n. 九月
report	n. [数][计] 序列；顺序；续发事件vt. 按顺序排好
reporter	n. 系列，连续；[电] 串联；级数；丛书
represent	adj. 严肃的，严重的；认真的；庄重的；危急的
representation	adv. 认真地；严重地，严肃地
representative	n. 仆人，佣人；公务员；雇工n. (Servant)人名；(西)塞尔万特；(法)塞尔旺
reproach	vt. 招待，供应；为…服务；对…有用；可作…用vi. 服役，服务；适合，足够；发球；招待，侍候n. 发球，轮到发球n. (Serve)人名；(法)塞尔夫
reproduce	n. 服务，服侍；服役；仪式adj. 服务性的；耐用的；服现役的vt.维修，检修；保养n. (Service)人名；(英)瑟维斯
republic	n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
republican	vt.  放置，安置; 使处于某种状况; 设置; 摆放餐具;vi.  落山; 出发; 凝结;n. 一套，一副; 集合; 布景; 电视机;adj.  固定的; 位于…的; 顽固的; 安排好的;
reputation	n. 环境；安装；布置；[天] 沉落v. 放置；沉没；使…处于某位置（set的ing形式）
request	vi. 解决；定居；沉淀；下陷vt. 解决；安排；使…定居n. 有背长椅
require	n. (Settle)人名；(英)塞特尔
requirement	n. 解决，处理；[会计] 结算；沉降；殖民
rescue	num. 七个，七n. 七个人；七点钟；七岁adj. 七的；七个的n.(Seven) （土、法、俄）谢文（人名）
research	n. 十七，十七个adj. 十七岁的；十七的，十七个的num. 十七n.(Seventeen)人名；(瑞典)塞文滕num.第七
researcher	n. 七十；七十个；七十岁；七十年代adj. 七十的；七十个的；七十岁的num. 七十
resemblance	adj. 几个的；各自的pron. 几个；数个
resemble	adj. 严峻的；严厉的；剧烈的；苛刻的
resent	adv. 严重地；严格地，严厉地；纯朴地
reservation	vt. 缝合，缝上；缝纫vi. 缝纫，缝
reserve	n. 性；性别；性行为；色情vt. 引起…的性欲；区别…的性别
reside	adj. 性的；性别的；有性的
residence	adj. 破旧的；卑鄙的；吝啬的；低劣的n.荫,阴暗,荫凉处,图案阴影,黑暗,颜色深浅,遮光物,帘vi.渐变vt.遮蔽,使阴暗,使渐变,微减
resident	n. 阴影；影子；幽灵；庇护；隐蔽处vt. 遮蔽；使朦胧；尾随；预示
residential	vi. 变阴暗adj. 影子内阁的
resign	adj. 成荫的；阴暗的；名声不好的n. (Shady)人名；(阿拉伯)沙迪432643314336
resignation	n. 竖井；通风井；（电梯的）升降机井；杆，柄vt. 欺骗；苛待
resist	vt. 动摇；摇动；震动；握手vi. 动摇；摇动；发抖n. 摇动；哆嗦
resistance	aux. 应；会；将；必须
resistant	adj. 浅的；肤浅的n. [地理] 浅滩vt. 使变浅vi. 变浅n. (Shallow)人名；(英)沙洛
resolution	n. 羞耻，羞愧；憾事，带来耻辱的人vt. 使丢脸，使羞愧n. (Shame)人名；(科特)沙梅
resolve	n. 洗发；洗发精vt. 洗发
resonance	n. 形状；模型；身材；具体化vt. 形成；塑造，使成形；使符合vi.形成；成形；成长n. (Shape)人名；(瑞典)沙佩
resort	v. 分享，共用；分配；有同样的感情（或经历）；分担n. 份，份额；股份；责任，贡献n. (Share) （美）沙雷（人名）
resource	adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的adv. 急剧地；锐利地；突然地n. 尖头vt. 磨快；把音调升高vi. 升音演奏n. (Sharp)人名；(英)夏普
respect	vt. 削尖；磨快；使敏捷；加重vi. 尖锐；变锋利
respectful	adv. 急剧地；锐利地
respective	vt. 粉碎；打碎；破坏；破掉；使散开vi. 粉碎；损坏；落叶n. 碎片；乱七八糟的状态
respectively	vi. 剃须，剃毛vt. 剃，削去；修剪；切成薄片；掠n. 刮脸，剃胡子；修面；口侥幸逃过，幸免；剃刀，刮刀
respond	pron. 她（主格）；它（用来指雌性动物或国家、船舶、地球、月亮等）n. 女人；雌性动物n. (She)人名；(中)佘(普通话·威妥玛)
response	v. 剪（羊或其他动物的）毛；剪（头发）；（受剪切力作用而）断裂
responsibility	n. 切变n. (Shear) （美）希尔（人名）
responsible	vt. 摆脱；使落下vi. 流出；脱落；散布n. 小屋，棚；分水岭
restaurant	adj. 绝对的；透明的；峻峭的；纯粹的adv. 完全；陡峭地vi. 偏航
restless	vt. 使偏航；使急转向n. 偏航；透明薄织物
restore	n. 薄片，纸张；薄板；床单vt. 覆盖；盖上被单；使成大片vi. 成片流动；大片落下adj. 片状的n. (Sheet)人名；(英)希特
restrain	n. 架子；搁板；搁板状物；暗礁
